Num_id,Strain,Plate,Counts,Rapa,Substrate,Row5,Normalized_counts
3,group_1,1,21,-,No Substrate,134,0.885462555
4,group_1,1,29,-,No Substrate,167,1.103524229
5,group_1,1,16,-,No Substrate,153,1.011013216
9,group_1,2,26,+,No Substrate,137,0.905286344
10,group_1,2,18,+,No Substrate,150,0.991189427
11,group_1,2,25,+,No Substrate,115,0.759911894
15,group_1,3,15,-,RpoA,107,0.842519685
16,group_1,3,16,-,RpoA,138,1.086614173
17,group_1,3,16,-,RpoA,136,1.070866142
21,group_1,4,13,+,RpoA,98,0.771653543
22,group_1,4,12,+,RpoA,113,0.88976378
23,group_1,4,28,+,RpoA,123,0.968503937
27,group_1,5,29,-,AtpA,171,0.916071429
28,group_1,5,28,-,AtpA,186,0.996428571
29,group_1,5,19,-,AtpA,203,1.0875
33,group_1,6,19,+,AtpA,197,1.055357143
34,group_1,6,23,+,AtpA,213,1.141071429
35,group_1,6,19,+,AtpA,195,1.044642857
39,group_1,7,13,-,Ffh,121,0.912060302
40,group_1,7,12,-,Ffh,144,1.085427136
41,group_1,7,17,-,Ffh,133,1.002512563
45,group_1,8,7,+,Ffh,146,1.100502513
46,group_1,8,4,+,Ffh,145,1.092964824
47,group_1,8,11,+,Ffh,118,0.889447236
51,group_1,9,9,-,SecA1,117,0.980446927
52,group_1,9,13,-,SecA1,126,1.055865922
53,group_1,9,20,-,SecA1,115,0.963687151
57,group_1,10,11,+,SecA1,160,1.340782123
58,group_1,10,8,+,SecA1,155,1.298882682
59,group_1,10,16,+,SecA1,135,1.131284916
63,group_1,11,6,-,AtpH,119,1.298181818
64,group_1,11,11,-,AtpH,78,0.850909091
65,group_1,11,17,-,AtpH,78,0.850909091
69,group_1,12,17,+,AtpH,95,1.036363636
70,group_1,12,15,+,AtpH,88,0.96
71,group_1,12,17,+,AtpH,90,0.981818182
75,group_1,13,10,-,AtpG,139,0.829025845
76,group_1,13,13,-,AtpG,199,1.186878728
77,group_1,13,25,-,AtpG,165,0.984095427
81,group_1,14,7,+,AtpG,151,0.900596421
82,group_1,14,15,+,AtpG,156,0.930417495
83,group_1,14,19,+,AtpG,168,1.001988072
87,group_1,15,24,-,AtpD,111,1.006042296
88,group_1,15,25,-,AtpD,121,1.096676737
89,group_1,15,29,-,AtpD,99,0.897280967
93,group_1,16,12,+,AtpD,90,0.81570997
94,group_1,16,15,+,AtpD,11,0.099697885
95,group_1,16,23,+,AtpD,122,1.105740181